ADMINISTARCION. UNA PERSPECTIVA GLOBAL;HAROLD KOONTZ;1994;658;K 83;649
ADMINISTARCION. UNA PERSPECTIVA GLOBAL;HAROLD KOONTZ;1994;658;K 83;650
ADMINISTARCION. UNA PERSPECTIVA GLOBAL;HAROLD KOONTZ;1994;658;K 83;651
ADMINISTARCION. UNA PERSPECTIVA GLOBAL;HAROLD KOONTZ;1994;658;K 83;652
ADMINISTARCION. UNA PERSPECTIVA GLOBAL;HAROLD KOONTZ;1994;658;K 83;654
ADMINISTRACION;DAVID R. HAMPTON;1989;658;H 232a;482
ADMINISTRACION;DAVID R. HAMPTON;1989;658;H 232a;936
ADMINISTRACION;DAVID R. HAMPTON;1989;658;H 232a;6245
ADMINISTRACION;DAVID R. HAMPTON;1989;658;H 232a;6246
ADMINISTRACION;DAVID R. HAMPTON;1989;658;H 232a;7731
ADMINISTRACION;HAROLD KOONTZ;1985;658;K 83;645
ADMINISTRACION;JAMES A. F. STONER;1996;658;ST 881a;14232
ADMINISTRACION;STEPHEN P. ROBBINS;2000;658;R 657a;9893
ADMINISTRACION;STEPHEN P. ROBBINS;2000;658;R 657a;10779
ADMINISTRACION;HAROLD KOONTZ;1993;658;K82;16673
ADMINISTRACION;DAVID R. HAMPTON;1993;658;H243;16676
ADMINISTRACION;DAVID R. HAMPTON;1995;658;H243;16675
ADMINISTRACION CONTEMPORANEA;DAVID R. HAMPTON;1987;658;H 232;481
ADMINISTRACION DE COMPRAS Y MATERIALES;MICHIEL LEENDERS;1995;658.7;L 486;8687
ADMINISTRACION DE COMPRAS Y MATERIALES;MICHIEL LEENDERS;1995;658.7;L 486;8688
ADMINISTRACION DE EMPRESAS CONSTRUCTORAS;CARLOS SUAREZ SALAZAR;2001;658.159.69;S 939a;9410
ADMINISTRACION DE EMPRESAS CONSTRUCTORAS;CARLOS SUAREZ SALAZAR;2001;658.159.69;S 939a;9411
ADMINISTRACION DE EMPRESAS CONSTRUCTORAS;CARLOS SUAREZ SALAZAR;1989;658.159.69;S 939a;2530
ADMINISTRACION DE LA PRODUCCION;L. TAWFIK;1998;658.3;T 234;3942
ADMINISTRACION DE MARKETING;J. PAUL PETER;1996;658.4;P 478a;9906
ADMINISTRACION DE OPERACIONES. TOMA DE DECISIONES EN LA FUNCION DE OPERACIONES;ROGER G. SCHROEDER;1992;658.14;S 381a;9897
ADMINISTRACION DE PERSONAL;GARY DESSLER;2001;658.3;D 475a;14257
ADMINISTRACION DE PERSONAL;SIKULA;1993;658.3;S576;16679
ADMINISTRACION DE PERSONAL;CHRUDEN / SHERMAN;1995;658.3;C558;16680
ADMINISTRACION DE PERSONAL Y RECURSOS HUMANOS;WILLIAM B. WETHER;1996;658.3;W 499a;4069
ADMINISTRACION DE PERSONAL Y RECURSOS HUMANOS;WILLIAM B. WETHER;1996;658.3;W 499a;10841
ADMINISTRACION DE PROYECTOS CIVILES;MARIO CAMPERO Q.;1999;658.159;C 195a;3197
ADMINISTRACION DE RECURSOS HUMANOS;IDALBERTO CHIAVENATO;1994;658.3;CH 532;2035
ADMINISTRACION DE RECURSOS HUMANOS;IDALBERTO CHIAVENATO;1994;658.3;CH 532;6246
ADMINISTRACION DE RECURSOS HUMANOS. EL CAPITAL HUMANO DE LAS EMPRESAS;WILLIAM B. WETHER;2008;658.3;W 499ar;14240
ADMINISTRACION DE VENTAS;EUGENE M. JOHNSON;1996;658.810;J 67a;7950
ADMINISTRACION EN LAS ORGANIZACIONES;JAMES E. ROZENZWEIG;1987;658.3;K 19;3154
ADMINISTRACION EN LAS ORGANIZACIONES;JAMES E. ROZENZWEIG;1987;658.3;K 19;10665
ADMINISTRACION FINANCIER BASICA;LAWRENCE J. GITMAN;1996;658.15;G 536a;7245
ADMINISTRACION FINANCIER BASICA;LAWRENCE J. GITMAN;1996;658.15;G 536a;7246
ADMINISTRACION FINANCIER BASICA;LAWRENCE J. GITMAN;1996;658.15;G 536a;7247
ADMINISTRACION FINANCIERA;JAMES C. VAN HORNE;1996;658.15;V 256;405
ADMINISTRACION FINANCIERA;LAWRENCE J. GITMAN;2000;658.4;G 536p;9481
ADMINISTRACION FINANCIERA;LAWRENCE J. GITMAN;2000;658.4;G 536p;9484
ADMINISTRACION FINANCIERA ;JAMES C. VAN HORNE;1997;658.159;V256;16677
ADMINISTRACION FINANCIERA BASICA;LAWRENCE J. GITMAN;1986;658.15;G 536fa;449
ADMINISTRACION FINANCIERA BASICA;LAWRENCE J. GITMAN;1990;658.15;G 536;1090
ADMINISTRACION FINANCIERA BASICA;LAWRENCE J. GITMAN;1990;658.15;G 536;1091
ADMINISTRACION FINANCIERA BASICA;LAWRENCE J. GITMAN;1990;658.15;G 536;1093
ADMINISTRACION FINANCIERA CORPORATIVA;DOUGLAS R. EMERY;2000;658.14;E 53a;10865
ADMINISTRACION FINANCIERA DEL CIRCULANTE;MANUEL ENRIQUE MADROÑO COSIO;2008;658.15;M 183;14260
ADMINISTRACION FINANCIERA INTERNACIONAL;JEFF MADURA;2011;658.12;M 178a;10848
ADMINISTRACION FINANCIERA. TOMO I;GEORGE C. PHILIPPATOS;1996;658.13;P 551a;9895
ADMINISTRACION FINANCIERA. TOMO II;GEORGE C. PHILIPPATOS;1996;658.13;P 551a;9896
ADMINISTRACION INDUSTRIAL Y GENERAL;HENRI FAYOL;1971;658.2;F 196;1130
ADMINISTRACION INDUSTRIAL Y GENERAL;HENRI FAYOL;1993;658.2;F 196a;7743
ADMINISTRACION MODERNA DE PERSONAL;JOAQUIN RODRIGUEZ VALENCIA;2007;658.3;R 696a;14258
ADMINISTRACION MODERNA DE PERSONAL;JOAQUIN RODRIGUEZ VALENCIA;2007;658.3;R 696a;14259
ADMINISTRACION POR CALIDAD;MANUEL ABURTO JIMENEZ;1992;658.568;A 167;8670
ADMINISTRACION POR CALIDAD;MANUEL ABURTO JIMENEZ;1992;658.568;A 167;8951
