CIENCIAS DE LA TIERRA Y EL ESPACIO					
CONCEPTOS DE FISICA	PAUL G. HEWITT	1999	530	H 599c	9324
ESPACIO TIEMPO Y UNIVERSO	HERNAN QUINTANA C.	1998	530.11	Q 7	8091
FISICA	M. ALONSO  - E.J. FINN	1995	529	 A 454f	13397
FISICA	M. ALONSO  - E.J. FINN	1995	529	 A 454f	9894
FISICA	J. W. KANE	2000	530	K 16	14256
FISICA 	DAVID HALLIDAY	1999	530	H 167f	9267
FISICA 	FRANCIS W. SEARS	1966	530	S 439f	2179
FISICA  - VOL I MECANICA	M. ALONSO  - E.J. FINN	1976	530	 A 454	965
FISICA  - VOL I MECANICA	M. ALONSO  - E.J. FINN	1970	530	 A 454	966
FISICA  - VOL I MECANICA	M. ALONSO  - E.J. FINN	1986	530	 A 454	967
FISICA  - VOL I MECANICA	M. ALONSO  - E.J. FINN	1986	530	 A 454	968
FISICA  - VOL I MECANICA	M. ALONSO  - E.J. FINN	1986	530	 A 454	969
FISICA - VOL II CAMPOS Y ONDAS	M. ALONSO  - E.J. FINN	1976	530	 A 454f	971
FISICA - VOL II CAMPOS Y ONDAS	M. ALONSO  - E.J. FINN	1976	530	 A 454f	972
FISICA - VOL II CAMPOS Y ONDAS	M. ALONSO  - E.J. FINN	1980	530	 A 454f	970
FISICA - VOL II CAMPOS Y ONDAS	M. ALONSO  - E.J. FINN	1987	530	 A 454f	973
FISICA - VOL II CAMPOS Y ONDAS	M. ALONSO  - E.J. FINN	1987	530	 A 454f	974
FISICA APLICADA	ARTHUR BEISER	1998	530	B 423	13390
FISICA CONCEPTUAL	PAUL G. HEWITT	1999	530	H 599f	10662
FISICA FUNDAMENTAL 1	MICHEL VALERO	1982	530	V 162	
FISICA GENERAL	FREDERICK J. BUECHE	1992	530	B 928	2165
FISICA GENERAL	FREDERICK J. BUECHE	1988	530	B 928	2166
FISICA GENERAL	FREDERICK J. BUECHE	1988	530	B 928	2164
FISICA GENERAL	FREDERICK J. BUECHE	1988	530	B 928	2163
FISICA GENERAL	FREDERICK J. BUECHE	1990	530	B 928	2159
FISICA GENERAL	FREDERICK J. BUECHE	1990	530	B 928	2157
FISICA GENERAL	FREDERICK J. BUECHE	1991	530	B 928	2158
FISICA GENERAL	FREDERICK J. BUECHE	1991	530	B 928	2156
FISICA GENERAL	VAN DER MERWE	1998	530	D 427	13389
FISICA GENERAL	FRANCIS W. SEARS	1957	530	S 439	3749
FISICA PARA ESTUDIANTES DE CIENCIAS E INGENIERIA	DAVID HALLIDAY	1961	530	R 434f	2172
FISICA PARA ESTUDIANTES DE CIENCIAS E INGENIERIA	DAVID HALLIDAY	1961	530	R 434f	2173
FISICA PARA ESTUDIANTES DE CIENCIAS E INGENIERIA	FREDERICK J. BUECHE	1990	530.1	B 928	3755
FISICA PARA ESTUDIANTES DE CIENCIAS E INGENIERIA	FREDERICK J. BUECHE	1990	530.1	B 928	3756
FISICA PARTE I	DAVID HALLIDAY	1980	530	R 434fh	2174
FISICA PARTE I	DAVID HALLIDAY	1980	530	R 434fh	2175
FISICA PARTE I	DAVID HALLIDAY	1980	530	R 434fh	2176
FISICA PARTE I	DAVID HALLIDAY	1986	530	R 434fh	2177
FISICA PARTE II	DAVID HALLIDAY	1982	530	R 434fhr	2178
FISICA PARTE II	DAVID HALLIDAY	1982	530	R 434fhr	2210
FISICA TOMO II	RAYMOND A. SERWAY	1997	530	S 492f	3962
FISICA TOMO II	RAYMOND A. SERWAY	1997	530	S 492f	3964
FISICA TOMO II	RAYMOND A. SERWAY	1997	530	S 492f	3968
FISICA TOMO II	RAYMOND A. SERWAY	1997	530	S 492f	3971
FISICA TOMO II	RAYMOND A. SERWAY	1997	530	S 492f	3975
FISICA UNIVERSITARIA	FRANCIS W. SEARS	1988	530	S 439	942
FISICA UNIVERSITARIA	FRANCIS W. SEARS	1988	530	S 439	943
FISICA UNIVERSITARIA	FRANCIS W. SEARS	1988	530	S 439	948
FISICA UNIVERSITARIA	FRANCIS W. SEARS	1988	530	S 439	945
FISICA UNIVERSITARIA V. 1	FRANCIS W. SEARS	1999	530	Z 439f	10649
FISICA UNIVERSITARIA V. 2	FRANCIS W. SEARS	1999	530	Z 439f	10650
FISICA. CONCEPTOS Y APLICACIONES	PAUL E. TIPPENS	2001	530	T 595f	14234
FISICA. VOL. I	ROBERT RESNICK	1999	530	R 434fi	9232
FUNDAMENTOS DE FISICA 2	FREDERICK J. BUECHE	1988	531.1	B 928	3651
MECANICA Y ONDAS	COLEGIO PADRE HURTADO	1983	531	M 486	7
PRACTICAS DE FISICA	CRAIG KRAMER	1994	530	K 89	13393
