ARGUMENTACION, COMUNICACIÓN Y FALACIAS;FRANS H. VAN EEMEREN;2002;401.4;E 17a;9493;
CLAVES PARA LA CONEXIÓN TEXTUAL;MONICA PEREZ RIFO;2001;410;C 415p;3168;
COMUNICACIÓN ESTUDIO DEL LENGUAJE;JUAN LUIS FUENTES DE LA CORTE;1999;410;F 954c;7785;
COMUNICACIÓN ESTUDIO DEL LENGUAJE;JUAN LUIS FUENTES DE LA CORTE;1999;410;F 954c;7786;
COMUNICACIÓN ESTUDIO DEL LENGUAJE;JUAN LUIS FUENTES DE LA CORTE;1999;410;F 954c;7787;
COMUNICACIÓN ESTUDIO DEL LENGUAJE;JUAN LUIS FUENTES DE LA CORTE;2004;410.18;F 954.4c;13566;
COMUNICACIÓN ORAL ARGUMENTATIVA. ESTRATEGIAS DIDACTICAS;LIGIA OCHOA SIERRA;2008;410.02;O 16.2coa;13507;
COMUNICACIÓN ORAL ARGUMENTATIVA. ESTRATEGIAS DIDACTICAS;LIGIA OCHOA SIERRA;2008;410.02;O 16.2coa;13508;
CURSO DE LINGÜÍSTICA;FERDINAND DE SAUSSURE;1972;410;S 259;8077;
CURSO DE LINGÜÍSTICA;FERDINAND DE SAUSSURE;1972;410;S 259;8878;
CURSO DE LINGÜÍSTICA;FERDINAND DE SAUSSURE;1972;410;S 259;8879;
CURSO DE REDACCION;GONZALO MARTIN VIVALDI;1994;466;V 856;221;
CURSO DE REDACCION;GONZALO MARTIN VIVALDI;1994;466;V 856;220;
CURSO DE REDACCION;GONZALO MARTIN VIVALDI;1994;466;V 856;219;
CURSO DE REDACCION- Teoría y Práctica de la Composión y del estilo ;GONZALO MARTIN VIVALDI;2000;466;V 856c;9004;
CURSO DE REDACCION- Teoría y Práctica de la Composión y del estilo ;GONZALO MARTIN VIVALDI;2000;466;V 856c;9006;
CURSO DE REDACCION- Teoría y Práctica de la Composión y del estilo ;GONZALO MARTIN VIVALDI;2000;466;V 856c;9008;
CURSO DE SINTAXIS CASTELLANA;EMILIO CAMUS LINEROS;1987;465;C 199;571;
CURSO DE SINTAXIS CASTELLANA;EMILIO CAMUS LINEROS;1987;465;C 199;572;
DICCIONARIO DE LINGÜÍSTICA MODERNA;ENRIQUE ALCARAZ;1997;463;A316d;9468;
DICCIONARIO GRAMATICAL Y DUDAS DEL IDIOMA;EMILIO MARTINEZ;1992;463;M298d;2413;
EL LENGUAJE ;EDWARD SAPIR ;1992;426;S241;200;
EL LENGUAJE ;;1992;426;S241;199;
EL LENGUAJE HUMANO ;LUIS A. GOMEZ MACKER;2004;410.01;G 633.1;13495;
EL LENGUAJE HUMANO ;LUIS A. GOMEZ MACKER;2004;410.01;G 633.1;13496;
EL LENGUAJE Y LA VIDA;CHARLES BALLY;1941;410;B 193;1568;
EL LENGUAJE Y LA VIDA;CHARLES BALLY;1941;410;B 193;1569;
ESBOZO DE UNA NUEVA GRAMATICA DE LA LENGUA ESPAÑOLA;REAL ACADEMIA ESPAÑOLA;1998;465;R 288;6279;
ESBOZO DE UNA NUEVA GRAMATICA DE LA LENGUA ESPAÑOLA;REAL ACADEMIA ESPAÑOLA;1998;465;R 288;6280;
ESBOZO DE UNA NUEVA GRAMATICA DE LA LENGUA ESPAÑOLA;REAL ACADEMIA ESPAÑOLA;1998;465;R 288;7254;
ESBOZO DE UNA NUEVA GRAMATICA DE LA LENGUA ESPAÑOLA;REAL ACADEMIA ESPAÑOLA;1998;465;R 288;7257;
ESBOZO DE UNA NUEVA GRAMATICA DE LA LENGUA ESPAÑOLA;REAL ACADEMIA ESPAÑOLA;1998;465;R 288;7258;
ESBOZO DE UNA NUEVA GRAMATICA DE LA LENGUA ESPAÑOLA;REAL ACADEMIA ESPAÑOLA;1998;465;R 288;14289;
GRAMATICA CASTELLANA;ALEJO ROA BLECK;2000;465;R 628;8035;
GRAMATICA CASTELLANA;ALEJO ROA BLECK;2000;465;R 628;3315;
GRAMATICA CASTELLANA;ALEJO ROA BLECK;2000;465;R 628;8775;
GRAMATICA DE LA LENGUA ESPAÑOLA;J. A. PEREZ RIOJA;1982;415;P 438;16597;
GRAMATICA DE LA LENGUA ESPAÑOLA;EMILIO ALARCOS LLORACH;1994;465;A 321;569;
GRAMATICA DE LA LENGUA ESPAÑOLA;EMILIO ALARCOS LLORACH;1994;465;A 321;570;
GRAMATICA DE LA LENGUA ESPAÑOLA;EMILIO ALARCOS LLORACH;1994;465;A 321;928;
GRAMATICA DE LA LENGUA ESPAÑOLA;EMILIO ALARCOS LLORACH;1994;465;A 321;929;
GRAMATICA DE LA LENGUA ESPAÑOLA;EMILIO ALARCOS LLORACH;1994;465;A 321;930;
GRAMATICA DE LA LENGUA ESPAÑOLA;EMILIO ALARCOS LLORACH;1994;465;A 321;931;
GRAMATICA DE LA LENGUA ESPAÑOLA;EMILIO ALARCOS LLORACH;1994;465;A 321;932;
GRAMATICA DE LA LENGUA ESPAÑOLA;EMILIO ALARCOS LLORACH;1994;465;A 321;933;
GRAMATICA ESENCIAL DE LA LENGUA ESPAÑOLA;MANUEL SECO;1998;465;S 445m;7075;
GRAMATICA ESENCIAL DE LA LENGUA ESPAÑOLA;MANUEL SECO;1998;465;S 445m;7076;
GRAMATICA ESENCIAL DE LA LENGUA ESPAÑOLA;MANUEL SECO;1998;465;S 445m;7077;
GRAMATICA ESTRUCTURAL;EDITH BIANCHI DE CORTINA;1989;465;B 578t;1442;
GRAMATICA ESTRUCTURAL;EDITH BIANCHI DE CORTINA;1989;465;B 578t;1443;
GRAMATICA ESTRUCTURAL;EDITH BIANCHI DE CORTINA;1989;465;B 578t;1444;
GRAMATICA ESTRUCTURAL;EDITH BIANCHI DE CORTINA;1989;465;B 578t;1445;
GRAMATICA MODERNA. ORTOGRAFIA PRACTICA DE LA LENGUA ESPAÑOLA;JUAN LUIS FUENTES DE LA CORTE;1994;465;F 954g;8084;
GRAMATICA SUCINTA DE LA LENGUA;MARIA ISABEL IGLESIAS;1999;425;I 24;7039;
GRAMATICA SUCINTA DE LA LENGUA;MARIA ISABEL IGLESIAS;1999;425;I 24;7040;
GRAMATICA SUCINTA DE LA LENGUA;MARIA ISABEL IGLESIAS;1999;425;I 24;7041;
GRAMATICA SUCINTA DE LA LENGUA;MARIA ISABEL IGLESIAS;1999;425;I 24;7042;
GRAMATICA SUCINTA DE LA LENGUA;MARIA ISABEL IGLESIAS;1999;425;I 24;7043;
INICIACION AL LENGUAJE DE LA IMAGEN;RAYMOND COLLE;1993;426;C 697;1800;
INICIACION AL LENGUAJE DE LA IMAGEN;RAYMOND COLLE;1993;426;C 697;1844;
LA CIENCIA DE LA COMUNICACIÓN;WILBUR SCHRAMM;1972;410;S 121;14452;
LA COMUNICACIÓN EN ACCION. INFORME SOBRE LA NUEVA CULTURA DE LA GESTION;JOAN COSTA;1999;410;C 837c;9065;
LA COMUNICACIÓN EN ACCION. INFORME SOBRE LA NUEVA CULTURA DE LA GESTION;JOAN COSTA;1999;410;C 837c;9189;
LA COMUNICACIÓN EN ACCION. INFORME SOBRE LA NUEVA CULTURA DE LA GESTION;JOAN COSTA;1999;410;C 837c;9190;
LA COMUNICACIÓN EN ACCION. INFORME SOBRE LA NUEVA CULTURA DE LA GESTION;JOAN COSTA;1999;410;C 837c;9191;
LA LENGUA Y LOS HABLANTES;RAUL AVILA;1998;410;A 958;6569;
LA LENGUA Y LOS HABLANTES;RAUL AVILA;1998;410;A 958;6567;
LA LENGUA Y LOS HABLANTES;RAUL AVILA;1998;410;A 958;6570;
LA LENGUA Y LOS HABLANTES;RAUL AVILA;1998;410;A 958;6572;
LAROUSSE GRAMATICA LENGUA ESPAÑOLA;IRMA MUNGUIA;2004;415;M 966;16576;
LAROUSSE GRAMATICA LENGUA ESPAÑOLA;IRMA MUNGUIA;2004;415;M 966;16575;
LENGUA LENGUAJE COMUNICACIÓN;P y H de la NOIX;1975;407;N782;;
LIBRO DE ORTOGRAFIA  (2);A. FERNANDEZ-V. MARTINEZ ;1992;465;G633;8839;
