 SQL SERVER 7  MANUAL DE REFERENCIA;GAYLE  COFFMAN;1999;001.642.4;C 675;14681
1-2-3- MANUAL DE REFERENCIA; MARY CAMPBELL;1989;001.642.4;C 189;1116
1-2-3- VERSION 3.1.  MANUAL DE REFERENCIA; MARY CAMPBELL;1992;001.642.4;C 189;1118
1-2-3- VERSION 3.1.  MANUAL DE REFERENCIA; MARY CAMPBELL;1992;001.642.4;C 189;1117
68000  68010  68020 /ARQUITECTURA Y PRORAMACION ;KELLY BOOTLE STAN;1987;001;K 29;2104
80286 PROGRAMACION ENSAMBLADOR EN ENTORNO MS DOS;SCANLON LEO J.;1988;001;S 283;2105
A FONDO: SISTEMAS EXPERTOS;LOUIS FRENZEL  Jr;1987;001.535;F 879;8051
A FONDO: SISTEMAS EXPERTOS;LOUIS FRENZEL  Jr;1987;001.535;F 879;8052
ALGORITMOS EN C++;ROBERT SEDGEWICK;1995;001.6;S 448;5284
ALGORITMOS EN C++;ROBERT SEDGEWICK;1995;001.6;S 448;3259
ALGORITMOS EN C++;ROBERT SEDGEWICK;1995;001.6;S 448;3261
ALGORITMOS EN C++;ROBERT SEDGEWICK;1995;001.6;S 448;5042
ALGORITMOS EN C++;ROBERT SEDGEWICK;1995;001.6;S 448;3262
ALGORITMOS EN C++;ROBERT SEDGEWICK;1995;001.6;S 448;3205
ALGORITMOS EN C++;ROBERT SEDGEWICK;1995;001.6;S 448;3206
ALGORITMOS EN C++;ROBERT SEDGEWICK;1995;001.6;S 448;7187
ALGORITMOS FUNDAMENTALES;D.E. KNUTH;1980;001.642.4;k74;2001
ALGORITMOS Y ESTRUCTURAS DE DATOS;N WIRTH;1994;001.6;W 799;1399
ALGORITMOS Y ESTRUCTURAS DE DATOS;N WIRTH;1994;001.6;W 799;1402
ALGORITMOS Y ESTRUCTURAS DE DATOS;N WIRTH;1994;001.6;W 799;1403
ANALISIS ESTRUCTURAL;JUAN MANUEL ALFARO;2004;001.61;AL 385;14333
ANALISIS Y  DISEÑO DE SISTEMAS DE INFORMACION;A. SEEN;1996;001.61;S 478;14674
ANALISIS Y DISEÑO DE  SISTEMAS DE INFORMACION;JAMES A. SEEN;1987;025.04;S 478;1327
ANALISIS Y DISEÑO DE ALGORITMOS;GUSTAVO LOPEZ;2009;005.1;L 864 a;14223
ANALISIS Y DISEÑOS DE SISTEMAS;K. KENDALL;1997;001.61;K33;5091
ANALISIS Y DISEÑOS DE SISTEMAS;K. KENDALL;1997;001.61;K33;7102
