A NEW PRONOUNCING DICTIONARY OF THE SPANISH AND ENGLISH LANGUAGES V.1	M. VELAZQUEZ	1973	423	V 446	16678
A NEW PRONOUNCING DICTIONARY OF THE SPANISH AND ENGLISH LANGUAGES V.1	M. VELAZQUEZ	1965	423	V 446	S/INV.
BREVE DICCIONARIO ETIMOLOGICO DE LA LENGUA CASTELLANA	JOAN COROMINAS	2005	463.02	C 822de	13550
DICCIONARIO  DE CONTABILIDAD Y FINANZAS	FERNANADO MARTIN	1999	657	M379	7035
DICCIONARIO  DE INGENIEROS - ESPAÑOL INGLES	LOUIS A. ROBB	1989	620	R631	1952
DICCIONARIO  DE TERMINOS FINANCIEROS 	RAFAEL BARANDIARAN	1990	657	B225d	2438
DICCIONARIO  ESPAÑOL - INGLES / INGLES - ESPAÑOL 	EDWIN B. WILLIAMS	1999	423.61	W 722d	9121
DICCIONARIO  McGRAM-HILL  DE COMPUTACION TOMO I A-K	SYBIL P. PARKER	1989	1	P243	1635
DICCIONARIO  McGRAM-HILL  DE COMPUTACION TOMO II  L-Z	SYBIL P. PARKER	1989	1	P243	1636
DICCIONARIO BASICO DE CONTRUCCION	JOSE ZURITA RUIZ	2000	690.03	Z96d	9081
DICCIONARIO BILINGÜE ESPAÑOL - INGLES / INGLES - ESPAÑOL	A. DANIEL HUGHES	1990	420	H 863	8069
DICCIONARIO DE ADMINISTRACION DE PERSONAL	LUIS ROSELLO	1977	658.3	R611d	2467
DICCIONARIO DE BIOLOGIA	ENRIQUE FONTANILLO	1985	574	F681	1388
DICCIONARIO DE BIOLOGIA	ENRIQUE FONTANILLO	1985	574	F681	896
DICCIONARIO DE CONCEPTOS ECONOMICOS Y FINANCIEROS	FERNANDO MARTINO	2001	330	M379d	2414
DICCIONARIO DE CONCEPTOS ECONOMICOS Y FINANCIEROS	FERNANDO MARTINO	2001	330	M379d	10881
DICCIONARIO DE ECONOMIA Y ADMINISTRACION	ANDRES SUAREZ	1992	330.03	S939d	9133
DICCIONARIO DE FILOSOFIA   A-D	J.FERRATER MORA	1999	103	F379	2099
DICCIONARIO DE FILOSOFIA   A-D	J.FERRATER MORA	1994	103	F379	5289
DICCIONARIO DE FILOSOFIA   E-J	J.FERRATER MORA	1999	103	F379	2115
DICCIONARIO DE FILOSOFIA   E-J	J.FERRATER MORA	1994	103	F379	5290
DICCIONARIO DE FILOSOFIA   K-P	J.FERRATER MORA	1999	103	F379	2182
DICCIONARIO DE FILOSOFIA   K-P	J.FERRATER MORA	1994	103	F379	5291
DICCIONARIO DE FILOSOFIA   Q-Z	J.FERRATER MORA	1999	103	F379	2263
DICCIONARIO DE FILOSOFIA   Q-Z	J.FERRATER MORA	1994	103	F379	5292
DICCIONARIO DE FILOSOFIA ABREVIADO	JOSE FERRATER	1991	103	F379	104
DICCIONARIO DE LA LENGUA ESPAÑOLA	REAL ACADEMIA ESPAÑOLA	1984	463	R 288	2119
DICCIONARIO DE LA LENGUA ESPAÑOLA	REAL ACADEMIA ESPAÑOLA	1996	463	R 288d	8103
DICCIONARIO DE LA LENGUA ESPAÑOLA	REAL ACADEMIA ESPAÑOLA	1984	463	R 288	2120
DICCIONARIO DE LA LENGUA ESPAÑOLA (A - G)	REAL ACADEMIA ESPAÑOLA	1984	403	R 288	S/INV.
DICCIONARIO DE LA LENGUA ESPAÑOLA (A - G)	REAL ACADEMIA ESPAÑOLA	1992	463	R 288	5286
DICCIONARIO DE LA LENGUA ESPAÑOLA (A - G)	REAL ACADEMIA ESPAÑOLA	2001	463	R 288di	9342
DICCIONARIO DE LA LENGUA ESPAÑOLA (A - G)	REAL ACADEMIA ESPAÑOLA	2001	463	R 288d	14314
DICCIONARIO DE LA LENGUA ESPAÑOLA (H - Z)	REAL ACADEMIA ESPAÑOLA	1984	403	R 288	S/INV.
DICCIONARIO DE LA LENGUA ESPAÑOLA (H - Z)	REAL ACADEMIA ESPAÑOLA	1992	463	R 288	5287
DICCIONARIO DE LA LENGUA ESPAÑOLA (H - Z)	REAL ACADEMIA ESPAÑOLA	2001	463	R 288dic	9343
DICCIONARIO DE LA LENGUA ESPAÑOLA (H - Z)	REAL ACADEMIA ESPAÑOLA	2001	463	R 288d	14313
DICCIONARIO DE PSICOLOGIA	ALBERTO L. MERANI	1984	150.03	M552	911
DICCIONARIO DE PSICOLOGIA	FRIEDRICH DORSCH	1994	150.03	D717	6337
DICCIONARIO DE REFRANES DICHOS Y PROVERBIOS	LUIS JUNCEDA	1998	465	J 95d	2412
DICCIONARIO DE SINONIMOS Y ANTONIMOS	ARMANDO GHIO D.	2003	S/INV.		
DICCIONARIO DE SINONIMOS Y ANTONIMOS	ARMANDO GHIO D.	2003	S/INV.		
DICCIONARIO DE TERMINOS DE MARKETING PUBLLICIDAD Y MEDIOS DE COMUNICACIÓN -INGLES-ESPAÑOL	ENRIQUE ALCARAZ	1999	463	A316di	9469
DICCIONARIO DE TERMINOS ECONOMICOS	CESAR SEPULVEDA	2000	330.04	S479d	9471
DICCIONARIO DE TERMINOS ECONOMICOS	CESAR SEPULVEDA	2000	330.04	S479d	9470
DICCIONARIO DE TERMINOS FINANCIEROS Y DE INVERSION	FRANCISCO MOCHON	1998	657	M688	7131
DICCIONARIO DE TERMINOS FINANCIEROS Y DE INVERSION	FRANCISCO MOCHON	1998	657	M688	7132
DICCIONARIO DE TERMINOS LEGALES - ESPAÑOL INGLES	LOUIS A. ROBB	1992	420	R886d	3140
DICCIONARIO ENCICLOPEDICO BASICO	PLAZA & JANES	1977	403	P 722	S/INV.
DICCIONARIO ENCICLOPEDICO COLOR	CARLOS DE GISPERT	2008	463	D 371d	14341
