ANALISIS COMBINATORIO CALCULO DE PROBABILIDADES	CARLOS MERCADO 	1984	519.2	M553	1337
ESTADISTICA	FREUND / MANNING S.	1989	519.5	F889	3253
ESTADISTICA  GENERAL 	HABER  / RUNYON	1973	519.5	H114e	4913
ESTADISTICA / SCHAUM	MURRAY R. SPIEGEL	1988	519.5	S 755	256
ESTADISTICA / SCHAUM	MURRAY R. SPIEGEL	1993	519.5	S 755	260
ESTADISTICA / SCHAUM	MURRAY R. SPIEGEL	1993	519.5	S 755	261
ESTADISTICA / SCHAUM	MURRAY R. SPIEGEL	1994	519.5	S 755	268
ESTADISTICA / SCHAUM	MURRAY R. SPIEGEL	1994	519.5	S 755	263
ESTADISTICA / SCHAUM	MURRAY R. SPIEGEL	1994	519.5	S 755	265
ESTADISTICA / SCHAUM	MURRAY R. SPIEGEL	1994	519.5	S 755	262
ESTADISTICA / SCHAUM	MURRAY R. SPIEGEL	1994	519.5	S 755	267
ESTADISTICA / SCHAUM	MURRAY R. SPIEGEL	1995	519.5	S 755	3297
ESTADISTICA / SCHAUM	MURRAY R. SPIEGEL	1995	519.5	S 755	3296
ESTADISTICA / SCHAUM	MURRAY R. SPIEGEL	1995	519.5	S 755	3298
ESTADISTICA / SCHAUM	MURRAY R. SPIEGEL	1997	519.5	S 755	9153
ESTADISTICA APLICADA	BERNARD OSTLE 	1990	519.5	O 85	1946
ESTADISTICA APLICADA A ADMINISTRACION Y ECONOMIA	LEONARD KAZMIER	2006	519.5	K19e	14284
ESTADISTICA APLICADA A ADMINISTRACION Y ECONOMIA	LEONARD KAZMIER	1989	519.5	K23	1323
ESTADISTICA APLICADA A ADMINISTRACION Y ECONOMIA	LEONARD KAZMIER	1995	519.5	K23e	1327
ESTADISTICA APLICADA A ADMINISTRACION Y ECONOMIA	LEONARD KAZMIER	1995	519.5	K23e	1326
ESTADISTICA APLICADA A ADMINISTRACION Y ECONOMIA	LEONARD KAZMIER	1999	519.5	K23e	1328
ESTADISTICA APLICADA A ADMINISTRACION Y ECONOMIA	LEONARD KAZMIER	2000	519.5	K23e	9125
ESTADISTICA APLICADA A ADMINISTRACION Y ECONOMIA	LEONARD KAZMIER	1989	519.5	K23	1322
ESTADISTICA BASICA Y ELEMENTOS DE MUESTREO	LUIS  MUXICA H.	1997	519.1	B993	5585
